"Name","Country","Actor Type","Established","Last Seen"
"Confucius","India","Nation-State","","2022-07-12"
"ConnectingFriend; KheXan rOot","Undetermined","Undetermined","","2015-09-03"
"Connor Freeman","Ireland","Criminal","","2018-05-18"
"Conti","Undetermined","Criminal","","2022-05-25"
"CoomingProject","Undetermined","Criminal","","2021-09-27"
"Couple from Vietnam","Viet Nam","Hobbyist","","2022-09-05"
"Crackas With Attitude","United States of America","Hacktivist","","2016-01-14"
"Crash Override","United States of America","Hacktivist","","2021-01-09"
"Crazy-3r3r","Undetermined","Undetermined","","2016-01-22"
"CrossLock","Undetermined","Criminal","","2023-04-16"
"Cru3lty","Undetermined","Criminal","","2017-10-25"
"Cryptolulz666","Undetermined","Hobbyist","","2016-12-19"
"Cryptolulz666; EvoIsGod","Undetermined","Undetermined","","2016-12-24"
"cryptom27","Undetermined","Criminal","","2016-11-28"
"Cuba","Russian Federation","Criminal","","2023-10-13"
"Curious Gorge","China","Nation-State","","2022-05-03"
"Cursed Patriarch","Undetermined","Criminal","","2021-10-21"
"Cyb3r Drag0nz Team","Undetermined","Hacktivist","","2023-09-07"
"Cyber Army","Russian Federation","Hacktivist","","2022-10-12"
"Cyber Avengers","Undetermined","Hacktivist","","2023-09-20"
"CYBER ERROR SYSTEM","Undetermined","Hacktivist","","2023-10-23"
"Cyber Freedom","Indonesia","Hacktivist","","2015-04-05"
"Cyber Haxors Group","Undetermined","Hobbyist","","2015-01-08"
"Cyber Islamic State","Undetermined","Hacktivist","","2015-07-09"
"Cyber Justice Team","Syrian Arab Republic","Hacktivist","","2016-04-06"
"Cyber Palyanitsa","Ukraine","Hacktivist","","2022-08-16"
"Cyber Partisans","Belarus","Hacktivist","","2023-07-03"
"Cyber Resistance","Ukraine","Hacktivist","","2023-08-21"
"Cyber-71","Bangladesh","Hacktivist","","2015-09-11"
"Cyber.Anarchy.Squad","Ukraine","Hacktivist","","2023-06-08"
"CyberAv3ngers","Iran (Islamic Republic of)","Hacktivist","","2023-10-06"
"CyberBerkut","Ukraine","Hacktivist","","2015-03-02"
"CyberBloc","Chile","Hacktivist","","2015-05-17"
"CyberCaliphate","Undetermined","Hacktivist","","2015-02-10"
"CyberHunta","Undetermined","Undetermined","","2016-10-28"
"CyberSecurity & Intelligence (CSI)","India","Hacktivist","","2018-09-29"
"CyberTeam","Undetermined","Criminal","","2017-06-21"
"cybervor","Undetermined","Undetermined","","2015-07-12"
"Cyberwolfgang","Undetermined","Criminal","","2017-01-06"
"CyberZeist","Undetermined","Hobbyist","","2017-01-01"
"Cyclops","Undetermined","Criminal","","2023-07-23"
"D#nut Leaks","Undetermined","Criminal","","2023-07-09"
"D0nut Leaks","Undetermined","Criminal","","2023-04-04"
"Daeshgram","Iraq","Hacktivist","","2017-11-18"
"Daixin","Undetermined","Criminal","","2023-05-18"
"Daixin Team","China","Criminal","","2023-10-23"
"DangerPro","Israel","Hacktivist","","2015-07-07"
"Daniel","Undetermined","Hobbyist","","2020-12-02"
"Daniel Soares; Alex Mosquera; Erick Vaysman","Undetermined","Hobbyist","","2015-05-26"
"Dark Angels","Undetermined","Criminal","","2023-09-26"
"Dark Power","Undetermined","Criminal","","2023-03-09"
"DarkBit","Undetermined","Hacktivist","","2023-02-12"
"DarkHotel","Undetermined","Nation-State","","2020-03-23"
"DarkHydrus","Undetermined","Nation-State","","2018-07-27"
"DarkRace","Undetermined","Criminal","","2023-06-03"
"Darkshadow","United Kingdom of Great Britain and Northern Ireland","Hacktivist","","2015-01-02"
"DarkSide","Russian Federation","Criminal","","2021-05-14"
"DarkSly","Undetermined","Hobbyist","","2019-11-13"
"Data","Undetermined","Criminal","","2022-03-14"
"DataBreaches user ""Mud""","Undetermined","Criminal","","2023-09-08"
"DayKalif","Undetermined","Undetermined","","2016-09-10"
"DC Leaks","Undetermined","Undetermined","","2016-09-22"
"DeepBlueMagic","Undetermined","Criminal","","2021-10-16"
"DeleteSec","Undetermined","Hacktivist","","2014-02-21"
"Denarius","Undetermined","Criminal","","2015-02-02"
"DeroHE","Undetermined","Criminal","","2021-01-23"
"DERP Trolling","Undetermined","Undetermined","","2014-01-03"
"Desmond Babloo Singh","Undetermined","Criminal","","2020-04-18"
"Desorden","Undetermined","Criminal","","2023-09-04"
"DetoxRansome","Undetermined","Criminal","","2015-07-24"
"DEV-0056","Iran (Islamic Republic of)","Nation-State","","2021-09-01"
"DEV-0228","Iran (Islamic Republic of)","Nation-State","","2021-07-01"
"DEV-0586","Russian Federation","Nation-State","","2022-07-11"
"devil","Undetermined","Criminal","","2022-07-22"
"Dfrank","Undetermined","Criminal","","2017-12-05"
"Digileaker","Undetermined","Undetermined","","2020-02-29"
"Digital Revolution","Russian Federation","Hacktivist","","2020-03-20"
"Dohaeragon","Undetermined","Hobbyist","","2018-07-27"
"DonJuji","Undetermined","Undetermined","","2020-05-07"
"Donut Leaks","Undetermined","Criminal","","2022-08-23"
"DoppelPaymer","Russian Federation","Criminal","","2021-04-19"
"Dorking92","Undetermined","Undetermined","","2015-01-14"
"Dr.3v1l","India","Hobbyist","","2014-02-08"
"Dr.MwNs","Sri Lanka","Hacktivist","","2015-08-05"
"Dr.SHA6H","Undetermined","Hacktivist","","2015-05-24"
"Dragonfly","Russian Federation","Nation-State","","2022-03-13"
"DragonForce","Malaysia","Hacktivist","","2021-06-27"
"DragonForce Malaysia","Malaysia","Hacktivist","","2022-06-13"
"Dump Phenom","Undetermined","Undetermined","","2015-02-28"
"DumpForums","Ukraine","Criminal","","2022-06-04"
"DumpForums and Ukrainian Cyber Alliance","Ukraine","Hacktivist","","2023-10-30"
"Dunghill Leak","Undetermined","Criminal","","2023-09-06"
"Dutch AIVD","Netherlands","Nation-State","","2018-01-25"
"Earth Longzhi","China","Nation-State","","2021-02-01"
"Ebu Duhan","Undetermined","Undetermined","","2015-03-28"
"Eddie Raymond Tipton","United States of America","Criminal","","2015-04-14"
"Eg-R1z","United States of America","Hacktivist","","2014-08-28"
"Eggfather","Undetermined","Undetermined","","2015-11-10"
"Egor Igorevich Kriuchkov","United States of America","Criminal","","2020-08-28"
"Egregor","Undetermined","Criminal","","2021-02-24"
"EKANS (SNAKE)","Undetermined","Undetermined","","2020-06-08"
"Elite Islamic State Hackers","United States of America","Hacktivist","","2015-09-03"
"ElliotAlderson","Undetermined","Undetermined","","2015-09-18"
"ElSurveillance","United States of America","Hacktivist","","2016-11-12"
"Enlace Hacktivist","Undetermined","Hacktivist","","2023-01-13"
"EpsilonRed","Undetermined","Criminal","","2021-05-30"
"Eric Walstrom","United States of America","Hobbyist","","2015-02-27"
"Eris Loris","Undetermined","Undetermined","","2020-10-25"
"Erwincho","Undetermined","Criminal","","2018-11-07"
"Essaji","United States of America","Hacktivist","","2014-08-28"
"Ethical Spectrum","Undetermined","Hacktivist","","2014-02-11"
"Eugene Belford","Undetermined","Hacktivist","","2014-02-23"
"Evaldas Rimasauskas","Undetermined","Criminal","","2017-04-28"
"Everest","Undetermined","Criminal","","2022-10-28"
"Evil Corp","Russian Federation","Criminal","","2021-11-25"
"Evil Shadow Team","Undetermined","Hobbyist","","2014-01-03"
"Exfocus","Mexico","Criminal","","2015-09-30"
"Expl.oit AKA Exploit","Undetermined","Undetermined","","2016-09-01"
"f AKA @Cleaver","Undetermined","Undetermined","","2015-02-28"
"Faisal 1337","India","Hacktivist","","2019-02-21"
"Fallaga Team","Undetermined","Hacktivist","","2017-02-07"
"fallensky519","Undetermined","Criminal","","2019-08-22"
"Fatal Error","Undetermined","Criminal","","2018-09-04"
"Fearz","United States of America","Hacktivist","","2016-01-18"
"fibonacci","Undetermined","Hobbyist","","2023-05-30"
"FIN11","Russian Federation","Criminal","","2021-02-26"
"FIN7","Russian Federation","Criminal","","2019-11-26"
"FIN8","Undetermined","Undetermined","","2019-12-14"
"FireHack","Undetermined","Undetermined","","2015-07-21"
"Five Families","Undetermined","Hacktivist","","2023-09-08"
"Five Hennepin HealthCare employees","Undetermined","Undetermined","","2020-10-13"
"FocaLeaks","Undetermined","Criminal","","2023-08-21"
"Fokinz","Undetermined","Undetermined","","2015-05-08"
"Football Leaks","Undetermined","Undetermined","","2016-12-02"
"Former Ashley County Medical Center employee","United States of America","Hobbyist","","2020-08-10"
"Former Geisinger Berwick employee","Undetermined","Undetermined","","2020-09-19"
"Former Montefiore Medical Center employee","Undetermined","Undetermined","","2020-09-21"
"Former Rezzan GÃÆÃ'Ãâ 'ÃÆÃ¢â¬Â 'ÃÆÃ'ÃÂ¢Ã¢'Â¬ÃÂ 'ÃÆÃ'Ãâ ''ÃÆÃ'ÃÂ¢Ã¢'Â¬ÃÂ 'ÃÆÃ'Ãâ 'ÃÆÃ¢â¬Â ''ÃÆÃ'Ãâ ''ÃÆÃ''ÃÆ'Ã'ÃÂ¼nday (?im?ek Pharmacy) employee","Undetermined","Undetermined","","2020-08-18"
"Former WPML Employee","China","Hacktivist","","2019-01-19"
"Four Teenagers","India","Criminal","","2017-01-25"
"Fr0mShell","Undetermined","Undetermined","","2016-01-10"
"Fredens of Security","Undetermined","Undetermined","","2023-08-11"
"Fredrick Lapointe; Rath Pak; Jimmy Saintelien","Canada","Criminal","","2018-04-01"
"FRID4Y","Undetermined","Undetermined","","2015-03-07"
"FSB 18th Center for Information Security (Berserk Bear)","Russian Federation","Nation-State","","2022-11-08"
"FSB 18th Center for Information Security (Gamaredon)","Russian Federation","Nation-State","","2023-08-30"
"FSB 18thÃÂ Center for Information Security (Berserk Bear)","Russian Federation","Nation-State","","2022-05-03"
"FSB 18thÃÂ Center for Information Security (Berserk Bear); GRU Unit 26165 (FANCY BEAR)","Russian Federation","Nation-State","","2018-12-03"
"FSB 18thÃ'ÃÂ Center for Information Security (Berserk Bear)","Russian Federation","Nation-State","","2022-09-01"
"Fuhrpark Service transport fleet","Undetermined","Undetermined","","2020-08-14"
"Fullz House","Undetermined","Criminal","","2020-10-06"
"g0tchack","Undetermined","Criminal","","2015-12-14"
"Galvanize Mob","Undetermined","Undetermined","","2015-05-25"
"Gantengers Crew","Indonesia","Hobbyist","","2015-05-11"
"Gaza Team","Israel","Hacktivist","","2015-04-14"
"Genesis Day","China","Hacktivist","","2023-01-31"
"GeNiuS-JorDan","Uganda","Hacktivist","","2016-01-06"
"Gensu & Turkhackteam","Undetermined","Undetermined","","2016-01-24"
"Gh0s7","Undetermined","Undetermined","","2016-12-31"
"Ghost Italy","Italy","Hacktivist","","2015-09-28"
"Ghost Squad","United States of America","Hacktivist","","2020-07-15"
"Ghost Squad Hackers","United States of America","Hacktivist","","2016-06-01"
"GhostSec","Undetermined","Hacktivist","","2023-08-27"
"Ghostwriter","Belarus","Nation-State","","2022-05-03"
"GhyamSarnegouni (""Rise to Overthrow"")","Undetermined","Criminal","","2023-05-29"
